"","V1"
"hb18_3","date measured (month)"
"hb18_4","date measured (month)"
"hb18_5","date measured (month)"
"hb18_6","date measured (month)"
"hb19_1","date measured (year)"
"hb19_2","date measured (year)"
"hb19_3","date measured (year)"
"hb19_4","date measured (year)"
"hb19_5","date measured (year)"
"hb19_6","date measured (year)"
"hb21_1","fieldworker measurer code for anthropometry"
"hb21_2","fieldworker measurer code for anthropometry"
"hb21_3","fieldworker measurer code for anthropometry"
"hb21_4","fieldworker measurer code for anthropometry"
"hb21_5","fieldworker measurer code for anthropometry"
"hb21_6","fieldworker measurer code for anthropometry"
"hb21a_1","fieldworker assistant measurer code for anthropometry"
"hb21a_2","fieldworker assistant measurer code for anthropometry"
"hb21a_3","fieldworker assistant measurer code for anthropometry"
"hb21a_4","fieldworker assistant measurer code for anthropometry"
"hb21a_5","fieldworker assistant measurer code for anthropometry"
"hb21a_6","fieldworker assistant measurer code for anthropometry"
"hb21b_1","na - fieldworker measurer code for hemoglobin"
"hb21b_2","na - fieldworker measurer code for hemoglobin"
"hb21b_3","na - fieldworker measurer code for hemoglobin"
"hb21b_4","na - fieldworker measurer code for hemoglobin"
"hb21b_5","na - fieldworker measurer code for hemoglobin"
"hb21b_6","na - fieldworker measurer code for hemoglobin"
"hb22_1","was man wearing only lightweight clothing"
"hb22_2","was man wearing only lightweight clothing"
"hb22_3","was man wearing only lightweight clothing"
"hb22_4","was man wearing only lightweight clothing"
"hb22_5","was man wearing only lightweight clothing"
"hb22_6","was man wearing only lightweight clothing"
"hb24_1","measurement interfered with braided or ornament"
"hb24_2","measurement interfered with braided or ornament"
"hb24_3","measurement interfered with braided or ornament"
"hb24_4","measurement interfered with braided or ornament"
"hb24_5","measurement interfered with braided or ornament"
"hb24_6","measurement interfered with braided or ornament"
"hb32_1","date of birth (cmc)"
"hb32_2","date of birth (cmc)"
"hb32_3","date of birth (cmc)"
"hb32_4","date of birth (cmc)"
"hb32_5","date of birth (cmc)"
"hb32_6","date of birth (cmc)"
"hb33_1","completeness of hb32 information"
"hb33_2","completeness of hb32 information"
"hb33_3","completeness of hb32 information"
"hb33_4","completeness of hb32 information"
"hb33_5","completeness of hb32 information"
"hb33_6","completeness of hb32 information"
"hb35_1","na - smoking (cigarettes in last 24 hours)"
"hb35_2","na - smoking (cigarettes in last 24 hours)"
"hb35_3","na - smoking (cigarettes in last 24 hours)"
"hb35_4","na - smoking (cigarettes in last 24 hours)"
"hb35_5","na - smoking (cigarettes in last 24 hours)"
"hb35_6","na - smoking (cigarettes in last 24 hours)"
"hb40_1","body mass index"
"hb40_2","body mass index"
"hb40_3","body mass index"
"hb40_4","body mass index"
"hb40_5","body mass index"
"hb40_6","body mass index"
"hb50_1","under age 18"
"hb50_2","under age 18"
"hb50_3","under age 18"
"hb50_4","under age 18"
"hb50_5","under age 18"
"hb50_6","under age 18"
"hb51_1","na - line number of parent/caretaker"
"hb51_2","na - line number of parent/caretaker"
"hb51_3","na - line number of parent/caretaker"
"hb51_4","na - line number of parent/caretaker"
"hb51_5","na - line number of parent/caretaker"
"hb51_6","na - line number of parent/caretaker"
"hb52_1","na - read consent statement - hemoglobin"
"hb52_2","na - read consent statement - hemoglobin"
"hb52_3","na - read consent statement - hemoglobin"
"hb52_4","na - read consent statement - hemoglobin"
"hb52_5","na - read consent statement - hemoglobin"
"hb52_6","na - read consent statement - hemoglobin"
"hb53_1","na - hemoglobin level (g/dl - 1 decimal)"
"hb53_2","na - hemoglobin level (g/dl - 1 decimal)"
"hb53_3","na - hemoglobin level (g/dl - 1 decimal)"
"hb53_4","na - hemoglobin level (g/dl - 1 decimal)"
"hb53_5","na - hemoglobin level (g/dl - 1 decimal)"
"hb53_6","na - hemoglobin level (g/dl - 1 decimal)"
"hb55_1","na - result of measurement - hemoglobin"
"hb55_2","na - result of measurement - hemoglobin"
"hb55_3","na - result of measurement - hemoglobin"
"hb55_4","na - result of measurement - hemoglobin"
"hb55_5","na - result of measurement - hemoglobin"
"hb55_6","na - result of measurement - hemoglobin"
"hb56_1","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb56_2","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb56_3","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb56_4","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb56_5","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb56_6","na - hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"hb57_1","na - anemia level"
"hb57_2","na - anemia level"
"hb57_3","na - anemia level"
"hb57_4","na - anemia level"
"hb57_5","na - anemia level"
"hb57_6","na - anemia level"
"hb58_1","na - agrees to referral - anemia"
"hb58_2","na - agrees to referral - anemia"
"hb58_3","na - agrees to referral - anemia"
"hb58_4","na - agrees to referral - anemia"
"hb58_5","na - agrees to referral - anemia"
"hb58_6","na - agrees to referral - anemia"
"hb60_1","marital status"
"hb60_2","marital status"
"hb60_3","marital status"
"hb60_4","marital status"
"hb60_5","marital status"
"hb60_6","marital status"
"hb61_1","na - read consent statement - hiv"
"hb61_2","na - read consent statement - hiv"
"hb61_3","na - read consent statement - hiv"
"hb61_4","na - read consent statement - hiv"
"hb61_5","na - read consent statement - hiv"
"hb61_6","na - read consent statement - hiv"
"hb62_1","bar code for hiv blood sample"
"hb62_2","bar code for hiv blood sample"
"hb62_3","bar code for hiv blood sample"
"hb62_4","bar code for hiv blood sample"
"hb62_5","bar code for hiv blood sample"
"hb62_6","bar code for hiv blood sample"
"hb63_1","na - result of measurement - hiv"
"hb63_2","na - result of measurement - hiv"
"hb63_3","na - result of measurement - hiv"
"hb63_4","na - result of measurement - hiv"
"hb63_5","na - result of measurement - hiv"
"hb63_6","na - result of measurement - hiv"
"hb64_1","na - consent for additional tests"
"hb64_2","na - consent for additional tests"
"hb64_3","na - consent for additional tests"
"hb64_4","na - consent for additional tests"
"hb64_5","na - consent for additional tests"
"hb64_6","na - consent for additional tests"
"hb65_1","na - result of man's individual interview"
"hb65_2","na - result of man's individual interview"
"hb65_3","na - result of man's individual interview"
"hb65_4","na - result of man's individual interview"
"hb65_5","na - result of man's individual interview"
"hb65_6","na - result of man's individual interview"
"hb66_1","man's highest educational level"
"hb66_2","man's highest educational level"
"hb66_3","man's highest educational level"
"hb66_4","man's highest educational level"
"hb66_5","man's highest educational level"
"hb66_6","man's highest educational level"
"hb67_1","man's highest year of education"
"hb67_2","man's highest year of education"
"hb67_3","man's highest year of education"
"hb67_4","man's highest year of education"
"hb67_5","man's highest year of education"
"hb67_6","man's highest year of education"
"hb68_1","man's highest educational level (for preliminary and final report)"
"hb68_2","man's highest educational level (for preliminary and final report)"
"hb68_3","man's highest educational level (for preliminary and final report)"
"hb68_4","man's highest educational level (for preliminary and final report)"
"hb68_5","man's highest educational level (for preliminary and final report)"
"hb68_6","man's highest educational level (for preliminary and final report)"
"hb69_1","na - hiv weight (6 decimals)"
"hb69_2","na - hiv weight (6 decimals)"
"hb69_3","na - hiv weight (6 decimals)"
"hb69_4","na - hiv weight (6 decimals)"
"hb69_5","na - hiv weight (6 decimals)"
"hb69_6","na - hiv weight (6 decimals)"
"hb70a_1","na - interviewer that took blood for hiv testing"
"hb70a_2","na - interviewer that took blood for hiv testing"
"hb70a_3","na - interviewer that took blood for hiv testing"
"hb70a_4","na - interviewer that took blood for hiv testing"
"hb70a_5","na - interviewer that took blood for hiv testing"
"hb70a_6","na - interviewer that took blood for hiv testing"
"hb70_1","height/age standard deviation (new who) (men age 15-19)"
"hb70_2","height/age standard deviation (new who) (men age 15-19)"
"hb70_3","height/age standard deviation (new who) (men age 15-19)"
"hb70_4","height/age standard deviation (new who) (men age 15-19)"
"hb70_5","height/age standard deviation (new who) (men age 15-19)"
"hb70_6","height/age standard deviation (new who) (men age 15-19)"
"hb73_1","bmi/age standard deviation (new who) (men age 15-19)"
"hb73_2","bmi/age standard deviation (new who) (men age 15-19)"
"hb73_3","bmi/age standard deviation (new who) (men age 15-19)"
"hb73_4","bmi/age standard deviation (new who) (men age 15-19)"
"hb73_5","bmi/age standard deviation (new who) (men age 15-19)"
"hb73_6","bmi/age standard deviation (new who) (men age 15-19)"
"mbp1h_1","first blood pressure reading (hour)"
"mbp1h_2","first blood pressure reading (hour)"
"mbp1h_3","first blood pressure reading (hour)"
"mbp1h_4","first blood pressure reading (hour)"
"mbp1h_5","first blood pressure reading (hour)"
"mbp1h_6","first blood pressure reading (hour)"
"mbp1m_1","first blood pressure reading (minutes)"
"mbp1m_2","first blood pressure reading (minutes)"
"mbp1m_3","first blood pressure reading (minutes)"
"mbp1m_4","first blood pressure reading (minutes)"
"mbp1m_5","first blood pressure reading (minutes)"
"mbp1m_6","first blood pressure reading (minutes)"
"mbp2_1","consent for first blood pressure reading"
"mbp2_2","consent for first blood pressure reading"
"mbp2_3","consent for first blood pressure reading"
"mbp2_4","consent for first blood pressure reading"
"mbp2_5","consent for first blood pressure reading"
"mbp2_6","consent for first blood pressure reading"
"mbp3_1","last 30 minutes have you: eaten anything"
"mbp3_2","last 30 minutes have you: eaten anything"
"mbp3_3","last 30 minutes have you: eaten anything"
"mbp3_4","last 30 minutes have you: eaten anything"
"mbp3_5","last 30 minutes have you: eaten anything"
"mbp3_6","last 30 minutes have you: eaten anything"
"mbp4_1","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp4_2","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp4_3","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp4_4","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp4_5","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp4_6","last 30 minutes have you: had coffee, tea, cola other drinks with caffeine"
"mbp5_1","last 30 minutes have you: smoked any tobacco products"
"mbp5_2","last 30 minutes have you: smoked any tobacco products"
"mbp5_3","last 30 minutes have you: smoked any tobacco products"
"mbp5_4","last 30 minutes have you: smoked any tobacco products"
"mbp5_5","last 30 minutes have you: smoked any tobacco products"
"mbp5_6","last 30 minutes have you: smoked any tobacco products"
"mbp6_1","last 30 minutes have you: exercised with intensity"
"mbp6_2","last 30 minutes have you: exercised with intensity"
"mbp6_3","last 30 minutes have you: exercised with intensity"
"mbp6_4","last 30 minutes have you: exercised with intensity"
"mbp6_5","last 30 minutes have you: exercised with intensity"
"mbp6_6","last 30 minutes have you: exercised with intensity"
"mbp7_1","arm circumference in centimeters"
"mbp7_2","arm circumference in centimeters"
"mbp7_3","arm circumference in centimeters"
"mbp7_4","arm circumference in centimeters"
"mbp7_5","arm circumference in centimeters"
"mbp7_6","arm circumference in centimeters"
"mbp8_1","blood pressure monitor to be used"
"mbp8_2","blood pressure monitor to be used"
"mbp8_3","blood pressure monitor to be used"
"mbp8_4","blood pressure monitor to be used"
"mbp8_5","blood pressure monitor to be used"
"mbp8_6","blood pressure monitor to be used"
"mbp9_1","first blood pressure reading: systolic"
"mbp9_2","first blood pressure reading: systolic"
"mbp9_3","first blood pressure reading: systolic"
"mbp9_4","first blood pressure reading: systolic"
"mbp9_5","first blood pressure reading: systolic"
"mbp9_6","first blood pressure reading: systolic"
"mbp10_1","first blood pressure reading: diastolic"
"mbp10_2","first blood pressure reading: diastolic"
"mbp10_3","first blood pressure reading: diastolic"
"mbp10_4","first blood pressure reading: diastolic"
"mbp10_5","first blood pressure reading: diastolic"
"mbp10_6","first blood pressure reading: diastolic"
"mbp11h_1","second blood pressure reading (hour)"
"mbp11h_2","second blood pressure reading (hour)"
"mbp11h_3","second blood pressure reading (hour)"
"mbp11h_4","second blood pressure reading (hour)"
"mbp11h_5","second blood pressure reading (hour)"
"mbp11h_6","second blood pressure reading (hour)"
"mbp11m_1","second blood pressure reading (minutes)"
"mbp11m_2","second blood pressure reading (minutes)"
"mbp11m_3","second blood pressure reading (minutes)"
"mbp11m_4","second blood pressure reading (minutes)"
"mbp11m_5","second blood pressure reading (minutes)"
"mbp11m_6","second blood pressure reading (minutes)"
"mbp12_1","consent for second blood pressure reading"
"mbp12_2","consent for second blood pressure reading"
"mbp12_3","consent for second blood pressure reading"
"mbp12_4","consent for second blood pressure reading"
"mbp12_5","consent for second blood pressure reading"
"mbp12_6","consent for second blood pressure reading"
"mbp13_1","second blood pressure reading: systolic"
"mbp13_2","second blood pressure reading: systolic"
"mbp13_3","second blood pressure reading: systolic"
"mbp13_4","second blood pressure reading: systolic"
"mbp13_5","second blood pressure reading: systolic"
"mbp13_6","second blood pressure reading: systolic"
"mbp14_1","second blood pressure reading: diastolic"
"mbp14_2","second blood pressure reading: diastolic"
"mbp14_3","second blood pressure reading: diastolic"
"mbp14_4","second blood pressure reading: diastolic"
"mbp14_5","second blood pressure reading: diastolic"
"mbp14_6","second blood pressure reading: diastolic"
"mbp15_1","ever had blood pressure measured by a doctor/health worker"
"mbp15_2","ever had blood pressure measured by a doctor/health worker"
"mbp15_3","ever had blood pressure measured by a doctor/health worker"
"mbp15_4","ever had blood pressure measured by a doctor/health worker"
"mbp15_5","ever had blood pressure measured by a doctor/health worker"
"mbp15_6","ever had blood pressure measured by a doctor/health worker"
"mbp16_1","ever been diagnosed by doctor/health worker with hypertension"
"mbp16_2","ever been diagnosed by doctor/health worker with hypertension"
"mbp16_3","ever been diagnosed by doctor/health worker with hypertension"
"mbp16_4","ever been diagnosed by doctor/health worker with hypertension"
"mbp16_5","ever been diagnosed by doctor/health worker with hypertension"
"mbp16_6","ever been diagnosed by doctor/health worker with hypertension"
"mbp17_1","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp17_2","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp17_3","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp17_4","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp17_5","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp17_6","last 12 months have been diagnosed by doctor/health worker with hypertension"
"mbp18_1","has a doctor/health worker prescribed medication to control blood pressure"
"mbp18_2","has a doctor/health worker prescribed medication to control blood pressure"
"mbp18_3","has a doctor/health worker prescribed medication to control blood pressure"
"mbp18_4","has a doctor/health worker prescribed medication to control blood pressure"
"mbp18_5","has a doctor/health worker prescribed medication to control blood pressure"
"mbp18_6","has a doctor/health worker prescribed medication to control blood pressure"
"mbp19_1","is respondent taken medication to control blood pressure"
"mbp19_2","is respondent taken medication to control blood pressure"
"mbp19_3","is respondent taken medication to control blood pressure"
"mbp19_4","is respondent taken medication to control blood pressure"
"mbp19_5","is respondent taken medication to control blood pressure"
"mbp19_6","is respondent taken medication to control blood pressure"
"mbp20h_1","third blood pressure reading (hour)"
"mbp20h_2","third blood pressure reading (hour)"
"mbp20h_3","third blood pressure reading (hour)"
"mbp20h_4","third blood pressure reading (hour)"
"mbp20h_5","third blood pressure reading (hour)"
"mbp20h_6","third blood pressure reading (hour)"
"mbp20m_1","third blood pressure reading (minutes)"
"mbp20m_2","third blood pressure reading (minutes)"
"mbp20m_3","third blood pressure reading (minutes)"
"mbp20m_4","third blood pressure reading (minutes)"
"mbp20m_5","third blood pressure reading (minutes)"
"mbp20m_6","third blood pressure reading (minutes)"
"mbp21_1","consent for third blood pressure reading"
"mbp21_2","consent for third blood pressure reading"
"mbp21_3","consent for third blood pressure reading"
"mbp21_4","consent for third blood pressure reading"
"mbp21_5","consent for third blood pressure reading"
"mbp21_6","consent for third blood pressure reading"
"mbp22_1","third blood pressure reading: systolic"
"mbp22_2","third blood pressure reading: systolic"
"mbp22_3","third blood pressure reading: systolic"
"mbp22_4","third blood pressure reading: systolic"
"mbp22_5","third blood pressure reading: systolic"
"mbp22_6","third blood pressure reading: systolic"
"mbp23_1","third blood pressure reading: diastolic"
"mbp23_2","third blood pressure reading: diastolic"
"mbp23_3","third blood pressure reading: diastolic"
"mbp23_4","third blood pressure reading: diastolic"
"mbp23_5","third blood pressure reading: diastolic"
"mbp23_6","third blood pressure reading: diastolic"
"mbp24_1","final blood pressure: systolic"
"mbp24_2","final blood pressure: systolic"
"mbp24_3","final blood pressure: systolic"
"mbp24_4","final blood pressure: systolic"
"mbp24_5","final blood pressure: systolic"
"mbp24_6","final blood pressure: systolic"
"mbp25_1","final blood pressure: diastolic"
"mbp25_2","final blood pressure: diastolic"
"mbp25_3","final blood pressure: diastolic"
"mbp25_4","final blood pressure: diastolic"
"mbp25_5","final blood pressure: diastolic"
"mbp25_6","final blood pressure: diastolic"
"mbp26_1","blood pressure category"
"mbp26_2","blood pressure category"
"mbp26_3","blood pressure category"
"mbp26_4","blood pressure category"
"mbp26_5","blood pressure category"
"mbp26_6","blood pressure category"
"mbp27_1","respondent receive the blood pressure result form"
"mbp27_2","respondent receive the blood pressure result form"
"mbp27_3","respondent receive the blood pressure result form"
"mbp27_4","respondent receive the blood pressure result form"
"mbp27_5","respondent receive the blood pressure result form"
"mbp27_6","respondent receive the blood pressure result form"
"idxdis_01","index to household schedule"
"idxdis_02","index to household schedule"
"idxdis_03","index to household schedule"
"idxdis_04","index to household schedule"
"idxdis_05","index to household schedule"
"idxdis_06","index to household schedule"
"idxdis_07","index to household schedule"
"idxdis_08","index to household schedule"
"idxdis_09","index to household schedule"
"idxdis_10","index to household schedule"
"idxdis_11","index to household schedule"
"idxdis_12","index to household schedule"
"idxdis_13","index to household schedule"
"idxdis_14","index to household schedule"
"idxdis_15","index to household schedule"
"idxdis_16","index to household schedule"
"idxdis_17","index to household schedule"
"idxdis_18","index to household schedule"
"idxdis_19","index to household schedule"
"idxdis_20","index to household schedule"
"idxdis_21","index to household schedule"
"idxdis_22","index to household schedule"
"idxdis_23","index to household schedule"
"idxdis_24","index to household schedule"
"idxdis_25","index to household schedule"
"idxdis_26","index to household schedule"
"hdis1_01","wear glasses or contact lenses"
"hdis1_02","wear glasses or contact lenses"
"hdis1_03","wear glasses or contact lenses"
"hdis1_04","wear glasses or contact lenses"
"hdis1_05","wear glasses or contact lenses"
"hdis1_06","wear glasses or contact lenses"
"hdis1_07","wear glasses or contact lenses"
"hdis1_08","wear glasses or contact lenses"
"hdis1_09","wear glasses or contact lenses"
"hdis1_10","wear glasses or contact lenses"
"hdis1_11","wear glasses or contact lenses"
"hdis1_12","wear glasses or contact lenses"
"hdis1_13","wear glasses or contact lenses"
"hdis1_14","wear glasses or contact lenses"
"hdis1_15","wear glasses or contact lenses"
"hdis1_16","wear glasses or contact lenses"
"hdis1_17","wear glasses or contact lenses"
"hdis1_18","wear glasses or contact lenses"
"hdis1_19","wear glasses or contact lenses"
"hdis1_20","wear glasses or contact lenses"
"hdis1_21","wear glasses or contact lenses"
"hdis1_22","wear glasses or contact lenses"
"hdis1_23","wear glasses or contact lenses"
"hdis1_24","wear glasses or contact lenses"
"hdis1_25","wear glasses or contact lenses"
"hdis1_26","wear glasses or contact lenses"
"hdis2_01","have difficulty seeing"
"hdis2_02","have difficulty seeing"
"hdis2_03","have difficulty seeing"
"hdis2_04","have difficulty seeing"
"hdis2_05","have difficulty seeing"
"hdis2_06","have difficulty seeing"
"hdis2_07","have difficulty seeing"
"hdis2_08","have difficulty seeing"
"hdis2_09","have difficulty seeing"
"hdis2_10","have difficulty seeing"
"hdis2_11","have difficulty seeing"
"hdis2_12","have difficulty seeing"
"hdis2_13","have difficulty seeing"
"hdis2_14","have difficulty seeing"
"hdis2_15","have difficulty seeing"
"hdis2_16","have difficulty seeing"
"hdis2_17","have difficulty seeing"
"hdis2_18","have difficulty seeing"
"hdis2_19","have difficulty seeing"
"hdis2_20","have difficulty seeing"
"hdis2_21","have difficulty seeing"
"hdis2_22","have difficulty seeing"
"hdis2_23","have difficulty seeing"
"hdis2_24","have difficulty seeing"
"hdis2_25","have difficulty seeing"
"hdis2_26","have difficulty seeing"
"hdis3_01","wear a hearing aid"
"hdis3_02","wear a hearing aid"
"hdis3_03","wear a hearing aid"
"hdis3_04","wear a hearing aid"
"hdis3_05","wear a hearing aid"
"hdis3_06","wear a hearing aid"
"hdis3_07","wear a hearing aid"
"hdis3_08","wear a hearing aid"
"hdis3_09","wear a hearing aid"
"hdis3_10","wear a hearing aid"
"hdis3_11","wear a hearing aid"
"hdis3_12","wear a hearing aid"
"hdis3_13","wear a hearing aid"
"hdis3_14","wear a hearing aid"
"hdis3_15","wear a hearing aid"
"hdis3_16","wear a hearing aid"
"hdis3_17","wear a hearing aid"
"hdis3_18","wear a hearing aid"
"hdis3_19","wear a hearing aid"
"hdis3_20","wear a hearing aid"
"hdis3_21","wear a hearing aid"
"hdis3_22","wear a hearing aid"
"hdis3_23","wear a hearing aid"
"hdis3_24","wear a hearing aid"
"hdis3_25","wear a hearing aid"
"hdis3_26","wear a hearing aid"
"hdis4_01","have difficulty hearing"
"hdis4_02","have difficulty hearing"
"hdis4_03","have difficulty hearing"
"hdis4_04","have difficulty hearing"
"hdis4_05","have difficulty hearing"
"hdis4_06","have difficulty hearing"
"hdis4_07","have difficulty hearing"
"hdis4_08","have difficulty hearing"
"hdis4_09","have difficulty hearing"
"hdis4_10","have difficulty hearing"
"hdis4_11","have difficulty hearing"
"hdis4_12","have difficulty hearing"
"hdis4_13","have difficulty hearing"
"hdis4_14","have difficulty hearing"
"hdis4_15","have difficulty hearing"
"hdis4_16","have difficulty hearing"
"hdis4_17","have difficulty hearing"
"hdis4_18","have difficulty hearing"
"hdis4_19","have difficulty hearing"
"hdis4_20","have difficulty hearing"
"hdis4_21","have difficulty hearing"
"hdis4_22","have difficulty hearing"
"hdis4_23","have difficulty hearing"
"hdis4_24","have difficulty hearing"
"hdis4_25","have difficulty hearing"
"hdis4_26","have difficulty hearing"
"hdis5_01","have difficulty communicating using usual language"
"hdis5_02","have difficulty communicating using usual language"
"hdis5_03","have difficulty communicating using usual language"
"hdis5_04","have difficulty communicating using usual language"
"hdis5_05","have difficulty communicating using usual language"
"hdis5_06","have difficulty communicating using usual language"
"hdis5_07","have difficulty communicating using usual language"
"hdis5_08","have difficulty communicating using usual language"
"hdis5_09","have difficulty communicating using usual language"
"hdis5_10","have difficulty communicating using usual language"
"hdis5_11","have difficulty communicating using usual language"
"hdis5_12","have difficulty communicating using usual language"
"hdis5_13","have difficulty communicating using usual language"
"hdis5_14","have difficulty communicating using usual language"
"hdis5_15","have difficulty communicating using usual language"
"hdis5_16","have difficulty communicating using usual language"
"hdis5_17","have difficulty communicating using usual language"
"hdis5_18","have difficulty communicating using usual language"
"hdis5_19","have difficulty communicating using usual language"
"hdis5_20","have difficulty communicating using usual language"
"hdis5_21","have difficulty communicating using usual language"
"hdis5_22","have difficulty communicating using usual language"
"hdis5_23","have difficulty communicating using usual language"
"hdis5_24","have difficulty communicating using usual language"
"hdis5_25","have difficulty communicating using usual language"
"hdis5_26","have difficulty communicating using usual language"
"hdis6_01","have difficulty remembering or concentrating"
"hdis6_02","have difficulty remembering or concentrating"
"hdis6_03","have difficulty remembering or concentrating"
"hdis6_04","have difficulty remembering or concentrating"
"hdis6_05","have difficulty remembering or concentrating"
"hdis6_06","have difficulty remembering or concentrating"
"hdis6_07","have difficulty remembering or concentrating"
"hdis6_08","have difficulty remembering or concentrating"
"hdis6_09","have difficulty remembering or concentrating"
"hdis6_10","have difficulty remembering or concentrating"
"hdis6_11","have difficulty remembering or concentrating"
"hdis6_12","have difficulty remembering or concentrating"
"hdis6_13","have difficulty remembering or concentrating"
"hdis6_14","have difficulty remembering or concentrating"
"hdis6_15","have difficulty remembering or concentrating"
"hdis6_16","have difficulty remembering or concentrating"
"hdis6_17","have difficulty remembering or concentrating"
"hdis6_18","have difficulty remembering or concentrating"
"hdis6_19","have difficulty remembering or concentrating"
"hdis6_20","have difficulty remembering or concentrating"
"hdis6_21","have difficulty remembering or concentrating"
"hdis6_22","have difficulty remembering or concentrating"
"hdis6_23","have difficulty remembering or concentrating"
"hdis6_24","have difficulty remembering or concentrating"
"hdis6_25","have difficulty remembering or concentrating"
"hdis6_26","have difficulty remembering or concentrating"
"hdis7_01","have difficulty walking or climbing steps"
"hdis7_02","have difficulty walking or climbing steps"
"hdis7_03","have difficulty walking or climbing steps"
"hdis7_04","have difficulty walking or climbing steps"
"hdis7_05","have difficulty walking or climbing steps"
"hdis7_06","have difficulty walking or climbing steps"
"hdis7_07","have difficulty walking or climbing steps"
"hdis7_08","have difficulty walking or climbing steps"
"hdis7_09","have difficulty walking or climbing steps"
"hdis7_10","have difficulty walking or climbing steps"
"hdis7_11","have difficulty walking or climbing steps"
"hdis7_12","have difficulty walking or climbing steps"
"hdis7_13","have difficulty walking or climbing steps"
"hdis7_14","have difficulty walking or climbing steps"
"hdis7_15","have difficulty walking or climbing steps"
"hdis7_16","have difficulty walking or climbing steps"
"hdis7_17","have difficulty walking or climbing steps"
"hdis7_18","have difficulty walking or climbing steps"
"hdis7_19","have difficulty walking or climbing steps"
"hdis7_20","have difficulty walking or climbing steps"
"hdis7_21","have difficulty walking or climbing steps"
"hdis7_22","have difficulty walking or climbing steps"
"hdis7_23","have difficulty walking or climbing steps"
"hdis7_24","have difficulty walking or climbing steps"
"hdis7_25","have difficulty walking or climbing steps"
"hdis7_26","have difficulty walking or climbing steps"
"hdis8_01","have difficulty washing all over or dressing"
"hdis8_02","have difficulty washing all over or dressing"
"hdis8_03","have difficulty washing all over or dressing"
"hdis8_04","have difficulty washing all over or dressing"
"hdis8_05","have difficulty washing all over or dressing"
"hdis8_06","have difficulty washing all over or dressing"
"hdis8_07","have difficulty washing all over or dressing"
"hdis8_08","have difficulty washing all over or dressing"
"hdis8_09","have difficulty washing all over or dressing"
"hdis8_10","have difficulty washing all over or dressing"
"hdis8_11","have difficulty washing all over or dressing"
"hdis8_12","have difficulty washing all over or dressing"
"hdis8_13","have difficulty washing all over or dressing"
"hdis8_14","have difficulty washing all over or dressing"
"hdis8_15","have difficulty washing all over or dressing"
"hdis8_16","have difficulty washing all over or dressing"
"hdis8_17","have difficulty washing all over or dressing"
"hdis8_18","have difficulty washing all over or dressing"
"hdis8_19","have difficulty washing all over or dressing"
"hdis8_20","have difficulty washing all over or dressing"
"hdis8_21","have difficulty washing all over or dressing"
"hdis8_22","have difficulty washing all over or dressing"
"hdis8_23","have difficulty washing all over or dressing"
"hdis8_24","have difficulty washing all over or dressing"
"hdis8_25","have difficulty washing all over or dressing"
"hdis8_26","have difficulty washing all over or dressing"
"hdis9_01","highest degree of difficulty for any of the impairments"
"hdis9_02","highest degree of difficulty for any of the impairments"
"hdis9_03","highest degree of difficulty for any of the impairments"
"hdis9_04","highest degree of difficulty for any of the impairments"
"hdis9_05","highest degree of difficulty for any of the impairments"
"hdis9_06","highest degree of difficulty for any of the impairments"
"hdis9_07","highest degree of difficulty for any of the impairments"
"hdis9_08","highest degree of difficulty for any of the impairments"
"hdis9_09","highest degree of difficulty for any of the impairments"
"hdis9_10","highest degree of difficulty for any of the impairments"
"hdis9_11","highest degree of difficulty for any of the impairments"
"hdis9_12","highest degree of difficulty for any of the impairments"
"hdis9_13","highest degree of difficulty for any of the impairments"
"hdis9_14","highest degree of difficulty for any of the impairments"
"hdis9_15","highest degree of difficulty for any of the impairments"
"hdis9_16","highest degree of difficulty for any of the impairments"
"hdis9_17","highest degree of difficulty for any of the impairments"
"hdis9_18","highest degree of difficulty for any of the impairments"
"hdis9_19","highest degree of difficulty for any of the impairments"
"hdis9_20","highest degree of difficulty for any of the impairments"
"hdis9_21","highest degree of difficulty for any of the impairments"
"hdis9_22","highest degree of difficulty for any of the impairments"
"hdis9_23","highest degree of difficulty for any of the impairments"
"hdis9_24","highest degree of difficulty for any of the impairments"
"hdis9_25","highest degree of difficulty for any of the impairments"
"hdis9_26","highest degree of difficulty for any of the impairments"
"haiidx_1","occurrence line number (index)"
"haiidx_2","occurrence line number (index)"
